"LATITUDE_PRED","LONGITUDE_PRED","FLOOR_PRED"
4864978.45308773,-7592.08693183392,1
4864978.45308773,-7592.08693183392,1
4864978.45308773,-7592.08693183392,1
4864978.45308773,-7592.08693183392,1
4864978.34776467,-7592.05407756289,1
4864980.68471702,-7591.03557827815,1
4864980.68471702,-7591.03557827815,1
4864980.68471702,-7591.03557827815,1
4864978.45308773,-7592.08693183392,1
4864981.9829072,-7593.98426231236,1
4864980.01064743,-7593.46712557982,1
4864980.01064743,-7593.46712557982,1
4864980.45419999,-7596.63734456256,1
4864982.24521059,-7597.3755401902,1
4864962.67641691,-7635.37500848024,1
4864981.87741442,-7597.78212563507,1
4864982.72677395,-7595.68017226232,1
4864983.76733738,-7593.61142542525,1
4864982.32402176,-7592.56815704376,1
4864980.41339963,-7596.57914079838,1
4864982.32402176,-7592.56815704376,1
4864982.02370757,-7594.04246607654,1
4864983.74723618,-7593.71293811627,1
4864959.62485008,-7636.76964753006,1
4864980.9954426,-7599.85171837912,1
4864982.24521059,-7597.3755401902,1
4864981.74614231,-7597.41784744985,1
4864980.9954426,-7599.85171837912,1
4864982.24521059,-7597.3755401902,1
4864982.24521059,-7597.3755401902,1
4864982.24521059,-7597.3755401902,1
4864982.24521059,-7597.3755401902,1
4864980.9954426,-7599.85171837912,1
4864980.9954426,-7599.85171837912,1
4864980.9954426,-7599.85171837912,1
4864980.9954426,-7599.85171837912,1
4864980.9954426,-7599.85171837912,1
4864980.9954426,-7599.85171837912,1
4864980.9954426,-7599.85171837912,1
4864980.9954426,-7599.85171837912,1
4864980.9954426,-7599.85171837912,1
4864980.9954426,-7599.85171837912,1
4864982.38370101,-7597.4778987882,1
4864980.9954426,-7599.85171837912,1
4864981.34864679,-7600.36700978203,1
4864981.34864679,-7600.36700978203,1
4864981.34864679,-7600.36700978203,1
4864981.34864679,-7600.36700978203,1
4864981.34864679,-7600.36700978203,1
4864982.38370101,-7597.4778987882,1
4864982.38370101,-7597.4778987882,1
4864982.38370101,-7597.4778987882,1
4864976.78355246,-7614.97420855279,1
4864979.05974013,-7608.23208878661,1
4864977.09949584,-7617.53505655545,1
4864981.26114969,-7624.1779839828,1
4864976.95239673,-7617.30455822549,1
4864981.26114969,-7624.1779839828,1
4864981.26114969,-7624.1779839828,1
4864981.26114969,-7624.1779839828,1
4864976.78355246,-7614.97420855279,1
